x,y,z
0,-0,3.01395
0,-0,3.01395
0,-0,3.01395
0,-0,3.01395
0,-0,3.01395
0,-0,3.01395
0,-0,3.01395
0,-0,3.01395
2.11736e-12,2.53304e-12,3.01386
2.11736e-12,2.53304e-12,3.01386
5.76721e-10,6.7809e-10,3.01296
5.76721e-10,6.7809e-10,3.01296
5.76721e-10,6.7809e-10,3.01296
1.51102e-08,1.73561e-08,3.01114
1.51102e-08,1.73561e-08,3.01114
1.51102e-08,1.73561e-08,3.01114
9.41508e-08,1.05061e-07,3.00934
9.41508e-08,1.05061e-07,3.00934
3.86483e-07,4.20922e-07,3.0074
3.86483e-07,4.20922e-07,3.0074
3.86483e-07,4.20922e-07,3.0074
1.30006e-06,1.38072e-06,3.00514
1.30006e-06,1.38072e-06,3.00514
1.30006e-06,1.38072e-06,3.00514
3.96425e-06,4.12022e-06,3.00238
3.96425e-06,4.12022e-06,3.00238
3.96425e-06,4.12022e-06,3.00238
7.60916e-06,7.82912e-06,3.0004
7.60916e-06,7.82912e-06,3.0004
1.33193e-05,1.35989e-05,2.99848
1.33193e-05,1.35989e-05,2.99848
1.33193e-05,1.35989e-05,2.99848
1.33193e-05,1.35989e-05,2.99848
2.60843e-05,2.64547e-05,2.99592
2.60843e-05,2.64547e-05,2.99592
2.60843e-05,2.64547e-05,2.99592
4.45071e-05,4.48932e-05,2.9937
4.45071e-05,4.48932e-05,2.9937
4.45071e-05,4.48932e-05,2.9937
6.5269e-05,6.56036e-05,2.992
6.5269e-05,6.56036e-05,2.992
6.5269e-05,6.56036e-05,2.992
6.5269e-05,6.56036e-05,2.992
0.000113822,0.000113922,2.98937
0.000113822,0.000113922,2.98937
0.000113822,0.000113922,2.98937
0.000155122,0.000154935,2.98783
0.000155122,0.000154935,2.98783
0.000155122,0.000154935,2.98783
0.000221931,0.000221207,2.98601
0.000221931,0.000221207,2.98601
0.000221931,0.000221207,2.98601
0.000319424,0.000317861,2.98414
0.000319424,0.000317861,2.98414
0.000409153,0.000406731,2.98286
0.000409153,0.000406731,2.98286
0.000517284,0.000513801,2.98163
0.000517284,0.000513801,2.98163
0.000517284,0.000513801,2.98163
0.000517284,0.000513801,2.98163
0.000517284,0.000513801,2.98163
0.000517284,0.000513801,2.98163
0.000778931,0.000772813,2.9795
0.000778931,0.000772813,2.9795
0.000778931,0.000772813,2.9795
0.00102822,0.00101947,2.97805
0.00102822,0.00101947,2.97805
0.00102822,0.00101947,2.97805
0.00127304,0.00126154,2.97693
0.00127304,0.00126154,2.97693
0.00127304,0.00126154,2.97693
0.00162793,0.00161247,2.97567
0.00162793,0.00161247,2.97567
0.00162793,0.00161247,2.97567
0.00192944,0.00191061,2.9748
0.00192944,0.00191061,2.9748
0.00227119,0.00224839,2.97399
0.00227119,0.00224839,2.97399
0.00227119,0.00224839,2.97399
0.00227119,0.00224839,2.97399
0.00227119,0.00224839,2.97399
0.00297739,0.00294617,2.97269
0.00297739,0.00294617,2.97269
0.00351156,0.00347344,2.97193
0.00351156,0.00347344,2.97193
0.00351156,0.00347344,2.97193
0.00404382,0.00399846,2.9713
0.00404382,0.00399846,2.9713
0.00404382,0.00399846,2.9713
0.00404382,0.00399846,2.9713
0.00404382,0.00399846,2.9713
0.00528598,0.00522198,2.97019
0.00528598,0.00522198,2.97019
0.00528598,0.00522198,2.97019
0.00619404,0.00611468,2.96958
0.00619404,0.00611468,2.96958
0.00619404,0.00611468,2.96958
0.00710429,0.007008,2.96907
0.00710429,0.007008,2.96907
0.00710429,0.007008,2.96907
0.00846379,0.00833965,2.96848
0.00846379,0.00833965,2.96848
0.00846379,0.00833965,2.96848
0.00960028,0.00945032,2.9681
0.00960028,0.00945032,2.9681
0.00960028,0.00945032,2.9681
0.0111344,0.0109459,2.96769
0.0111344,0.0109459,2.96769
0.0111344,0.0109459,2.96769
0.0126759,0.0124443,2.96738
0.0126759,0.0124443,2.96738
0.0126759,0.0124443,2.96738
0.0140151,0.0137424,2.96717
0.0140151,0.0137424,2.96717
0.0154525,0.0151322,2.967
0.0154525,0.0151322,2.967
0.0154525,0.0151322,2.967
0.0154525,0.0151322,2.967
0.0154525,0.0151322,2.967
0.0154525,0.0151322,2.967
0.0173938,0.0170035,2.96684
0.0173938,0.0170035,2.96684
0.0173938,0.0170035,2.96684
0.0210848,0.0205432,2.96669
0.0210848,0.0205432,2.96669
0.0210848,0.0205432,2.96669
0.0234971,0.0228444,2.96666
0.0234971,0.0228444,2.96666
0.0234971,0.0228444,2.96666
0.0260958,0.0253136,2.96667
0.0260958,0.0253136,2.96667
0.0260958,0.0253136,2.96667
0.0260958,0.0253136,2.96667
0.0286013,0.0276848,2.96673
0.0286013,0.0276848,2.96673
0.0286013,0.0276848,2.96673
0.0318868,0.0307804,2.96686
0.0318868,0.0307804,2.96686
0.0318868,0.0307804,2.96686
0.0354282,0.0341003,2.96704
0.0354282,0.0341003,2.96704
0.03817,0.0366591,2.9672
0.03817,0.0366591,2.9672
0.03817,0.0366591,2.9672
0.0410563,0.0393424,2.96739
0.0410563,0.0393424,2.96739
0.0410563,0.0393424,2.96739
0.0410563,0.0393424,2.96739
0.0410563,0.0393424,2.96739
0.0464685,0.0443466,2.96779
0.0464685,0.0443466,2.96779
0.0501993,0.047776,2.96808
0.0501993,0.047776,2.96808
0.0501993,0.047776,2.96808
0.0541325,0.051375,2.96841
0.0541325,0.051375,2.96841
0.0541325,0.051375,2.96841
0.058746,0.055576,2.96881
0.058746,0.055576,2.96881
0.062627,0.0590935,2.96915
0.062627,0.0590935,2.96915
0.062627,0.0590935,2.96915
0.0666813,0.0627528,2.96952
0.0666813,0.0627528,2.96952
0.0666813,0.0627528,2.96952
0.0666813,0.0627528,2.96952
0.0720001,0.0675305,2.97002
0.0720001,0.0675305,2.97002
0.0781815,0.0730521,2.97061
0.0781815,0.0730521,2.97061
0.0781815,0.0730521,2.97061
0.0828996,0.0772454,2.97106
0.0828996,0.0772454,2.97106
0.0828996,0.0772454,2.97106
0.0897003,0.0832597,2.97171
0.0897003,0.0832597,2.97171
0.0897003,0.0832597,2.97171
0.0897003,0.0832597,2.97171
0.0897003,0.0832597,2.97171
0.100947,0.0931325,2.9728
0.100947,0.0931325,2.9728
0.100947,0.0931325,2.9728
0.106555,0.0980242,2.97333
0.106555,0.0980242,2.97333
0.112368,0.103075,2.97388
0.112368,0.103075,2.97388
0.112368,0.103075,2.97388
0.118392,0.108287,2.97445
0.118392,0.108287,2.97445
0.12463,0.113662,2.97504
0.12463,0.113662,2.97504
0.12463,0.113662,2.97504
0.12463,0.113662,2.97504
0.132735,0.120615,2.9758
0.132735,0.120615,2.9758
0.132735,0.120615,2.9758
0.141188,0.127829,2.97659
0.141188,0.127829,2.97659
0.149098,0.134549,2.97731
0.149098,0.134549,2.97731
0.149098,0.134549,2.97731
0.156374,0.140704,2.97797
0.156374,0.140704,2.97797
0.156374,0.140704,2.97797
0.156374,0.140704,2.97797
0.166762,0.14945,2.9789
0.166762,0.14945,2.9789
0.175596,0.156852,2.97969
0.175596,0.156852,2.97969
0.175596,0.156852,2.97969
0.184737,0.164478,2.98049
0.184737,0.164478,2.98049
0.184737,0.164478,2.98049
0.184737,0.164478,2.98049
0.198492,0.175893,2.98168
0.198492,0.175893,2.98168
0.198492,0.175893,2.98168
0.208402,0.184075,2.98253
0.208402,0.184075,2.98253
0.208402,0.184075,2.98253
0.208402,0.184075,2.98253
0.222116,0.195343,2.98367
0.222116,0.195343,2.98367
0.232781,0.204064,2.98454
0.232781,0.204064,2.98454
0.242539,0.212013,2.98533
0.242539,0.212013,2.98533
0.242539,0.212013,2.98533
0.25256,0.220147,2.98613
0.25256,0.220147,2.98613
0.25256,0.220147,2.98613
0.25256,0.220147,2.98613
0.25256,0.220147,2.98613
0.269416,0.233766,2.98744
0.269416,0.233766,2.98744
0.280145,0.242396,2.98826
0.280145,0.242396,2.98826
0.280145,0.242396,2.98826
0.293942,0.253449,2.9893
0.293942,0.253449,2.9893
0.293942,0.253449,2.9893
0.306728,0.263652,2.99024
0.306728,0.263652,2.99024
0.318392,0.272925,2.99109
0.318392,0.272925,2.99109
0.330339,0.282393,2.99196
0.330339,0.282393,2.99196
0.330339,0.282393,2.99196
0.342573,0.292055,2.99282
0.342573,0.292055,2.99282
0.342573,0.292055,2.99282
0.356682,0.303159,2.99381
0.356682,0.303159,2.99381
0.369534,0.313238,2.99469
0.369534,0.313238,2.99469
0.369534,0.313238,2.99469
0.38268,0.323516,2.99558
0.38268,0.323516,2.99558
0.38268,0.323516,2.99558
0.38268,0.323516,2.99558
0.38268,0.323516,2.99558
0.399533,0.336642,2.99671
0.399533,0.336642,2.99671
0.399533,0.336642,2.99671
0.415103,0.348723,2.99773
0.415103,0.348723,2.99773
0.415103,0.348723,2.99773
0.434657,0.363835,2.99899
0.434657,0.363835,2.99899
0.449242,0.375064,2.99991
